Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
Acer Aspire 7 A715-76G NH.QMFSI.004 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),ACER,695.88,64.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),ASUS,1079.88,73.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,635.88,66.0,Windows,INTEL,11.0,6.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),ACER,1350.0,70.0,Windows,INTEL,13.0,16.0,24.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,6.0,16.0,1920.0,1200.0,False,1.0
HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,827.88,68.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
HP 255 G8 689T4PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Win11 Home),HP,306.96,55.0,Windows,AMD,3.0,2.0,4.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),MSI,455.88,59.0,Windows,AMD,7.0,6.0,12.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),MSI,1139.88,74.0,Windows,INTEL,12.0,10.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,15.6,1920.0,1080.0,False,2.0
Samsung Galaxy Book2 NP550XED-KA2IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),SAMSUNG,635.88,56.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell Vostro 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),DELL,557.88,54.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),DELL,1296.0,59.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1366.0,768.0,False,1.0
Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),ASUS,1079.88,75.0,Windows,AMD,6.0,8.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,4.0,13.4,1920.0,1200.0,True,1.0
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),ASUS,562.68,62.0,Windows,AMD,5.0,6.0,12.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),ASUS,662.4,64.0,Windows,AMD,5.0,8.0,16.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,539.88,65.0,Windows,AMD,5.0,6.0,12.0,8.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,16.1,1920.0,1080.0,False,1.0
Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),ASUS,383.88,54.0,Windows,INTEL,11.0,2.0,4.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,True,1.0
iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),IBALL,96.0,57.0,Windows,INTEL,12.0,4.0,12.0,2.0,DDR3,32,HDD,INTEL,Integrated,0.0,11.6,1366.0,768.0,False,1.0
HP Victus 15-fa1216TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 3050),HP,893.88,62.0,Windows,INTEL,13.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0.0,15.6,1920.0,1080.0,False,1.0
HP Victus 15-fa1128TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,791.88,64.0,Windows,INTEL,13.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo Legion Pro 7i 2024 Gaming Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),LENOVO,3573.1,68.0,Windows,INTEL,14.0,24.0,32.0,32.0,DDR5,1000,SSD,NVIDIA,Dedicated,12.0,16.0,2560.0,1600.0,False,1.0
Asus Zenbook S13 OLED 2024 UX5304MA-NQ762WS Laptop ( Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),ASUS,1679.88,70.0,Windows,INTEL,12.0,12.0,14.0,32.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,13.3,2880.0,1800.0,False,1.0
Lenovo ThinkPad P14s 21HF001EIG Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro),LENOVO,1319.88,71.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5X,512,SSD,NVIDIA,Dedicated,4.0,14.0,1920.0,1200.0,False,3.0
Lenovo ThinkPad P14s 21HF001FIG Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 4GB Graphics),LENOVO,1559.88,72.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5X,512,SSD,NVIDIA,Dedicated,4.0,14.0,1920.0,1200.0,False,3.0
Asus Zenbook S13 OLED 2024 UX5304MA-NQ752WS Laptop ( Intel Core Ultra 7 155U/ 16GB/ 1TB SSD/ Win11),ASUS,1559.88,65.0,Windows,INTEL,12.0,12.0,14.0,16.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,13.3,2880.0,1800.0,False,1.0
HP Envy x360 14-fc0106TU Laptop (Intel Core Ultra 7 155U/ 16GB/ 512GB SSD/ Win11),HP,1307.99,68.0,Windows,INTEL,12.0,12.0,14.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,True,1.0
MSI Katana A17 AI B8VF-845IN Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,1439.88,77.0,Windows,AMD,8.0,8.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,17.3,1920.0,1080.0,False,2.0
Apple MacBook Air 2024 MRYN3HN/A Laptop (Apple M3/ 8GB/ 512GB SSD/ MacOS),APPLE,1858.8,56.0,Mac,APPLE,12.0,8.0,12.0,8.0,DDR4,512,SSD,OTHER,Integrated,0.0,15.3,2880.0,1864.0,False,1.0
Apple MacBook Air 15 2024 MRYR3HN/A Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),APPLE,1602.64,54.0,Mac,APPLE,12.0,8.0,12.0,8.0,DDR4,256,SSD,OTHER,Integrated,0.0,15.3,2880.0,1864.0,False,1.0
Apple MacBook Air 2024 MRXW3HN/A Laptop (Apple M3/ 8GB/ 512GB SSD/ MacOS),APPLE,1618.8,57.0,Mac,APPLE,12.0,8.0,12.0,8.0,Other,512,SSD,APPLE,Integrated,0.0,13.6,2560.0,1664.0,False,1.0
Apple MacBook Air 15 2024 Laptop (Apple M3/ 16GB/ 512GB SSD/ MacOS),APPLE,2098.8,57.0,Mac,APPLE,12.0,8.0,12.0,16.0,Other,512,SSD,OTHER,Integrated,0.0,15.3,2880.0,1864.0,False,1.0
MSI Vector 16 HX A14VGG-279IN Gaming Laptop (14th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,2375.88,68.0,Windows,INTEL,14.0,20.0,28.0,32.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.0,2560.0,1600.0,False,2.0
Xiaomi Redmi Book Pro 16 2024 Laptop (Intel Core Ultra 5/ 32GB/ 1TB SSD/ Win 11),XIAOMI,839.88,62.0,Windows,INTEL,12.0,14.0,18.0,32.0,DDR5,1000,SSD,INTEL,Integrated,0.0,16.0,3072.0,1920.0,False,1.0
Xiaomi Redmi Book Pro 14 2024 Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win 11),XIAOMI,719.88,61.0,Windows,INTEL,12.0,14.0,18.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,2880.0,1800.0,False,2.0
Lenovo Legion Y9000K 2024 Gaming Laptop (14th Gen Core i9/ 64GB/ 2TB SSD/ Win11/ 16GB Graph),LENOVO,4199.88,68.0,Windows,INTEL,14.0,24.0,32.0,64.0,DDR5,2000,SSD,NVIDIA,Dedicated,16.0,16.0,3200.0,2000.0,False,1.0
Samsung Galaxy Book 4 360 NP750QGK-KG3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 1TB SSD/ Win11),SAMSUNG,1667.88,61.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR5,1000,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,True,1.0
Samsung Galaxy Book 4 Pro 360 NP960QGK-KG1IN Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1967.88,69.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Samsung Galaxy Book 4 360 NP750QGK-KG2IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1475.88,59.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,True,1.0
Samsung Galaxy Book 4 360 NP750QGK-KG1IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1379.88,57.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,True,1.0
Samsung Galaxy Book 4 Pro 360 NP960QGK-KG2IN Laptop (Intel Core Ultra 7/ 16GB/ 1TB SSD/ Win11),SAMSUNG,2159.88,70.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Acer Aspire Lite AL15-51 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),ACER,593.99,59.0,Windows,INTEL,11.0,4.0,8.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Samsung Galaxy Book 4 Pro 14 NP940XGK-KG3IN Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11),SAMSUNG,2063.88,72.0,Windows,INTEL,12.0,16.0,22.0,32.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,14.0,2880.0,1800.0,True,1.0
Samsung Galaxy Book 4 Pro 14 NP940XGK-KS1IN Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1583.88,65.0,Windows,INTEL,12.0,14.0,18.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,14.0,2880.0,1800.0,True,1.0
Samsung Galaxy Book 4 Pro NP960XGK-KG1IN Laptop (Intel Core Ultra 5/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1703.88,65.0,Windows,INTEL,12.0,14.0,18.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Samsung Galaxy Book 4 Pro NP960XGK-KG2IN Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1799.88,68.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Samsung Galaxy Book 4 Pro NP960XGK-KG3IN Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11),SAMSUNG,2183.88,73.0,Windows,INTEL,12.0,16.0,22.0,32.0,DDR5X,1000,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Lenovo IdeaPad Slim 5 83DA0049IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),LENOVO,923.88,57.0,Windows,INTEL,12.0,14.0,18.0,16.0,DDR5,1000,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,False,1.0
Asus VivoBook 15 X1500EA-EJ111WS Laptop (Intel Pentium Gold/ 8GB/ 256GB SSD/ Win11),ASUS,311.88,57.0,Windows,INTEL,12.0,2.0,4.0,8.0,DDR4,256,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell G15-5530 GN5530D83M6001ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),DELL,959.88,66.0,Windows,INTEL,13.0,10.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
HP 15-fd0221TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,729.59,52.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Pavilion x360 14-ek0183TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),HP,659.88,62.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,True,1.0
Infinix INBook Y4 Max Series Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),INFINIX,527.88,53.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR4X,512,SSD,INTEL,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
HP Victus 15-fa1124TX Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,701.88,64.0,Windows,INTEL,12.0,8.0,12.0,8.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win 11 Home),INFINIX,443.88,54.0,Windows,INTEL,13.0,6.0,8.0,16.0,DDR4X,512,SSD,INTEL,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
HP 245 G9 841W7PA Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ DOS),HP,298.8,50.0,Other,AMD,3.0,2.0,4.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,14.0,1366.0,768.0,False,1.0
HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,645.59,57.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo V15 G4 ‎82YU00W9IN Laptop (Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,407.88,56.0,Windows,AMD,7.0,4.0,8.0,8.0,DDR5,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo Legion Pro 5 161IRX9 Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),LENOVO,1799.88,69.0,Windows,INTEL,12.0,24.0,32.0,32.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.0,2560.0,1600.0,False,1.0
Lenovo IdeaPad Slim 1 82R400BGIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,425.88,57.0,Windows,AMD,5.0,6.0,12.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),INFINIX,407.88,51.0,Windows,INTEL,11.0,4.0,8.0,16.0,DDR4X,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo IdeaPad Gaming 3 82SB00Y8IN Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),LENOVO,839.88,66.0,Windows,AMD,6.0,8.0,16.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Xiaomi Redmi Book 14 2024 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),XIAOMI,599.88,57.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,2880.0,1800.0,False,1.0
Xiaomi Redmi Book 16 2024 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),XIAOMI,635.88,57.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,16.0,2560.0,1600.0,False,1.0
Samsung Galaxy Book 4 360 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1558.8,57.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,13.3,1920.0,1080.0,True,1.0
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),APPLE,3848.28,64.0,Mac,APPLE,12.0,14.0,12.0,36.0,Other,1000,SSD,OTHER,Integrated,0.0,16.2,3456.0,2234.0,False,1.0
Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 512GB SSD/ macOS),APPLE,2242.79,54.0,Mac,APPLE,12.0,11.0,12.0,18.0,Other,512,SSD,OTHER,Integrated,0.0,14.2,3024.0,1964.0,False,1.0
Lenovo LOQ 15APH8 82XT004KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),LENOVO,1185.48,71.0,Windows,AMD,7.0,8.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,8.0,15.6,1920.0,1080.0,False,1.0
Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,297.48,57.0,Windows,AMD,12.0,2.0,2.0,8.0,DDR5,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 512GB SSD/ macOS),APPLE,1859.88,50.0,Mac,APPLE,12.0,8.0,12.0,8.0,Other,512,SSD,OTHER,Integrated,0.0,14.2,3024.0,1964.0,False,1.0
Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),ACER,383.88,54.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Gigabyte G5 MF-G2IN313SH Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),GIGABYTE,839.88,66.0,Windows,INTEL,12.0,10.0,16.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,6.0,15.0,1920.0,1080.0,False,2.0
Lenovo V15 G4 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),LENOVO,417.85,50.0,Windows,AMD,7.0,4.0,8.0,8.0,DDR5,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Acer Aspire 5 A515-58GM 15 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),ACER,731.99,61.0,Windows,INTEL,13.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),LENOVO,764.4,62.0,Windows,INTEL,12.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,2240.0,1400.0,False,1.0
Zebronics Pro Series Y ZEB-NBC 1S Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),ZEBRONICS,287.88,51.0,Windows,INTEL,11.0,4.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F17 FX707ZC4-HX048WS Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,863.88,66.0,Windows,INTEL,12.0,12.0,16.0,8.0,DDR5,512,SSD,NVIDIA,Dedicated,4.0,17.3,1920.0,1080.0,False,1.0
MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,599.88,61.0,Windows,AMD,7.0,6.0,12.0,8.0,DDR5,512,SSD,AMD,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),ASUS,935.88,65.0,Windows,INTEL,13.0,14.0,20.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,16.0,1920.0,1200.0,False,1.0
Dell Inspiron 15 3520 IN352092K4N001ORS1 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),DELL,629.99,52.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB SSD/ Win11),CHUWI,335.88,57.0,Windows,INTEL,12.0,6.0,8.0,12.0,DDR4,512,SSD,INTEL,Integrated,0.0,13.5,2256.0,1504.0,True,1.0
HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),HP,575.88,53.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),INFINIX,359.88,57.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4X,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,629.99,68.0,Windows,AMD,5.0,6.0,12.0,16.0,DDR4,512,SSD,AMD,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),ASUS,1019.88,72.0,Windows,INTEL,12.0,14.0,20.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
MSI Thin GF63 11SC-1494IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),MSI,503.88,60.0,Windows,INTEL,11.0,6.0,12.0,8.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,2.0
Asus VivoBook 15 X1500EA-EJ326WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),ASUS,383.88,52.0,Windows,INTEL,11.0,2.0,4.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,722.4,71.0,Windows,INTEL,11.0,6.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,16.1,1920.0,1080.0,False,1.0
Asus Zenbook 14X OLED 2023 UX5401ZA-KM541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),ASUS,815.88,62.0,Windows,INTEL,12.0,12.0,16.0,16.0,Other,512,SSD,INTEL,Integrated,0.0,14.0,2880.0,1800.0,False,1.0
Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),ACER,443.88,56.0,Windows,AMD,5.0,6.0,12.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Walker NU14A1 Laptop (Celeron N4020/ 4GB/ 128GB SSD / Win11 Home),WALKER,155.88,57.0,Windows,INTEL,12.0,2.0,2.0,4.0,DDR4,128,SSD,INTEL,Integrated,0.0,14.1,1920.0,1080.0,False,1.0
Asus Vivobook 16X 2023 K3605ZU-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),ASUS,923.88,69.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,6.0,16.0,1920.0,1200.0,False,1.0
HP Pavilion Plus 14-eh1022TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),HP,869.88,64.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,2240.0,1400.0,False,1.0
Infinix Zerobook ZL513 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),INFINIX,599.88,52.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell Latitude 3420 GD723YX17 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Ubuntu),DELL,454.68,55.0,Other,INTEL,11.0,4.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1366.0,768.0,False,1.0
Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),DELL,875.88,66.0,Windows,INTEL,13.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,16.0,2560.0,1600.0,False,1.0
