Model,Manufacturer,Price_USD,Rating,OS_Clean,Processor_Manufacturer,Processor_Generation,Core_Count,Thread_Count,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Graphics_Manufacturer,Graphics_Type,Graphics_Memory_GB,Screen_Size_inches,Resolution_Width,Resolution_Height,Touchscreen,Warranty_Years
Lenovo IdeaPad Gaming 3 82K2025XIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),LENOVO,659.88,66.0,Windows,AMD,5.0,6.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Lenovo Thinkpad E14 20YES00K00 Laptop (AMD Ryzen 7 5800U/ 16GB/ 512GB SSD/ Win10),LENOVO,959.99,62.0,Windows,AMD,5.0,8.0,16.0,16.0,DDR4,512,SSD,AMD,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
HP Envy x360 15-fe0014TX Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),HP,1589.88,69.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,True,1.0
Lenovo ThinkPad E14 21JKS13K00 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),LENOVO,1163.88,65.0,Windows,INTEL,13.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,False,1.0
Lenovo V14 82TSA0CWIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),LENOVO,665.88,53.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Lenovo V14 82TS005DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),LENOVO,521.88,57.0,Other,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Asus Vivobook 15 2024 X1504VAP-NJ322WS Laptop (Intel Core 3 Processor 100U/ 8GB/ 512GB SSD/ Win11),ASUS,599.88,53.0,Windows,INTEL,12.0,6.0,8.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Lenovo V14 G3 82TSA0EMIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Pro),LENOVO,539.88,51.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
HP Envy x360 ‎14-fc0100TU Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),HP,1607.99,73.0,Windows,INTEL,12.0,12.0,14.0,32.0,DDR5,1000,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,True,1.0
HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,575.88,54.0,Windows,INTEL,12.0,10.0,12.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,2111.99,77.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,14.0,2880.0,1800.0,False,1.0
HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),HP,1163.99,65.0,Windows,INTEL,12.0,12.0,14.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1200.0,True,1.0
HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,743.88,64.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,16.1,1920.0,1080.0,False,1.0
Asus Vivobook Go 14 2023 E1404FA-NK331W Laptop (Ryzen 3 7320U / 8GB/ 1TB SSD/ Win11 Home),ASUS,419.88,53.0,Windows,AMD,7.0,4.0,8.0,8.0,DDR5,1000,SSD,AMD,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Samsung Galaxy Book 4 NP750XGK-KS3IN Laptop (Intel Core 7 Processor 150U/ 16GB/ 512GB SSD/ Win11),SAMSUNG,1031.88,56.0,Windows,INTEL,12.0,10.0,12.0,16.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),DELL,959.88,68.0,Windows,INTEL,13.0,10.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),ASUS,1019.88,74.0,Windows,AMD,6.0,8.0,16.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,4.0,13.4,1920.0,1200.0,True,1.0
Samsung Galaxy Book 4 Pro 360 Laptop (Intel Core Ultra 7/ 16GB/ 512GB SSD/ Win11),SAMSUNG,2399.88,72.0,Windows,INTEL,12.0,16.0,22.0,16.0,DDR5X,512,SSD,INTEL,Integrated,0.0,16.0,2880.0,1800.0,True,1.0
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),LENOVO,403.2,62.0,Windows,AMD,7.0,4.0,8.0,8.0,DDR4,512,SSD,AMD,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),ZEBRONICS,335.88,61.0,Windows,INTEL,12.0,6.0,8.0,8.0,DDR4,512,SSD,INTEL,Integrated,0.0,15.6,1920.0,1080.0,False,1.0
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),ASUS,958.79,71.0,Windows,INTEL,11.0,8.0,16.0,16.0,DDR4,1000,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),ACER,935.88,59.0,Windows,INTEL,13.0,8.0,12.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,6.0,15.6,1920.0,1080.0,False,1.0
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),LENOVO,719.88,64.0,Windows,INTEL,12.0,8.0,12.0,16.0,DDR5,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),ASUS,1043.88,72.0,Windows,INTEL,12.0,10.0,16.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,6.0,16.0,1920.0,1200.0,False,1.0
HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),HP,239.75,57.0,Other,AMD,3.0,2.0,2.0,4.0,DDR4,256,SSD,AMD,Integrated,0.0,15.6,1366.0,768.0,False,1.0
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),ASUS,1199.88,74.0,Windows,INTEL,12.0,14.0,20.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,8.0,15.6,1920.0,1080.0,False,1.0
HP Omen 16-n0123AX Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP,1355.88,73.0,Windows,AMD,6.0,8.0,16.0,16.0,DDR5,1000,SSD,NVIDIA,Dedicated,8.0,16.1,2560.0,1440.0,False,1.0
Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),DELL,839.99,62.0,Windows,INTEL,12.0,12.0,16.0,16.0,DDR5,512,SSD,INTEL,Integrated,0.0,14.0,1920.0,1080.0,False,1.0
Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),ASUS,719.88,66.0,Windows,INTEL,11.0,6.0,12.0,16.0,DDR4,512,SSD,NVIDIA,Dedicated,4.0,15.6,1920.0,1080.0,False,1.0
